Time,BestBid,BidVol,BestAsk,AskVol,Price,Volume
1687039882900.0,26558.3,0.876,26558.4,0.065,26558.3,148.996
1687039883000.0,26558.3,17.493,26558.4,7.525,26558.3,148.996
1687039883100.0,26571.2,1.426,26571.3,0.011,26567.3,473.798
1687039883200.0,26574.0,2.107,26574.1,0.037,26573.9,481.706
1687039883300.0,26576.7,12.071,26576.8,4.288,26576.8,490.645
1687039883400.0,26577.8,6.201,26577.9,0.352,26583.0,549.932
1687039883500.0,26583.5,2.126,26583.6,0.778,26583.5,559.138
1687039883600.0,26580.9,0.045,26581.4,2.534,26581.2,593.057
1687039883700.0,26580.6,3.061,26580.7,4.968,26580.7,602.535
1687039883800.0,26578.2,0.815,26578.5,0.523,26578.3,635.05
1687039883900.0,26577.9,1.106,26578.0,1.324,26578.0,640.338
1687039884000.0,26577.8,0.428,26577.9,9.552,26577.9,642.781
1687039884100.0,26584.5,0.067,26584.6,0.317,26583.6,856.038
1687039884200.0,26584.5,1.692,26584.6,2.5,26584.5,871.789
1687039884300.0,26583.7,1.713,26583.9,5.986,26583.7,883.899
1687039884400.0,26580.9,0.117,26581.0,4.332,26580.9,921.022
1687039884500.0,26579.4,2.042,26579.5,0.767,26579.4,927.101
1687039884600.0,26576.5,0.216,26576.6,4.896,26576.5,949.531
1687039884700.0,26576.4,0.727,26576.5,3.767,26576.4,952.024
1687039884800.0,26575.3,8.424,26575.4,0.43,26575.4,1007.36
1687039884900.0,26576.4,4.627,26576.5,6.945,26576.5,1015.761
1687039885000.0,26576.4,0.192,26576.5,9.67,26576.4,1020.826
1687039885100.0,26584.5,0.899,26584.6,0.147,26584.5,1156.113
1687039885200.0,26584.7,5.649,26584.8,8.621,26584.8,1157.119
1687039885300.0,26584.7,15.192,26584.8,3.071,26584.7,1162.873
1687039885400.0,26581.2,0.061,26581.4,0.05,26581.4,1186.397
1687039885500.0,26579.9,1.403,26580.0,7.568,26579.9,1203.695
1687039885600.0,26579.9,1.328,26580.0,7.836,26580.0,1205.067
1687039885700.0,26576.3,0.041,26576.4,1.072,26576.4,1219.119
1687039885800.0,26576.3,1.591,26576.4,9.252,26576.4,1220.037
1687039885900.0,26576.3,1.74,26576.4,6.307,26576.3,1221.801
1687039886000.0,26576.3,4.67,26576.4,3.47,26576.4,1224.709
1687039886100.0,26576.3,6.414,26576.4,0.629,26576.4,1228.068
1687039886200.0,26578.2,12.606,26578.3,0.84,26578.2,1229.638
1687039886300.0,26578.8,14.887,26578.9,2.306,26578.8,1231.339
1687039886400.0,26578.8,11.238,26578.9,1.375,26578.9,1231.846
1687039886500.0,26578.8,6.87,26578.9,2.732,26578.9,1233.274
1687039886600.0,26578.8,6.212,26578.9,5.432,26578.8,1236.045
1687039886700.0,26578.8,6.202,26578.9,5.715,26578.8,1236.045
1687039886800.0,26578.8,6.2,26578.9,6.091,26578.8,1236.058
1687039886900.0,26578.8,1.637,26578.9,5.402,26578.8,1236.058
1687039887000.0,26578.8,2.314,26578.9,4.666,26578.8,1237.422
1687039887100.0,26578.8,3.037,26578.9,4.456,26578.8,1237.591
1687039887200.0,26578.8,7.243,26578.9,4.632,26578.9,1237.607
1687039887300.0,26578.8,4.617,26578.9,4.875,26578.9,1237.607
1687039887400.0,26578.8,4.485,26578.9,5.201,26578.8,1239.794
1687039887500.0,26578.8,4.184,26578.9,5.915,26578.9,1240.062
1687039887600.0,26578.8,7.024,26578.9,6.132,26578.9,1240.062
1687039887700.0,26578.8,7.024,26578.9,7.515,26578.8,1240.233
1687039887800.0,26578.8,8.329,26578.9,7.232,26578.8,1240.521
1687039887900.0,26578.8,5.323,26578.9,8.486,26578.9,1240.593
1687039888000.0,26578.8,2.408,26578.9,9.648,26578.9,1240.593
1687039888100.0,26578.8,1.125,26578.9,8.361,26578.9,1246.514
1687039888200.0,26576.0,1.555,26576.1,8.262,26576.0,1260.726
1687039888300.0,26575.6,2.365,26575.7,11.738,26575.7,1263.892
1687039888400.0,26571.4,4.084,26571.5,2.858,26571.4,1297.914
1687039888500.0,26563.5,0.516,26563.6,0.073,26563.0,1357.525
1687039888600.0,26560.3,1.531,26560.4,0.447,26560.4,1381.901
1687039888700.0,26562.3,1.53,26562.4,0.243,26562.2,1389.557
1687039888800.0,26562.3,6.061,26562.4,1.491,26562.2,1389.557
1687039888900.0,26562.3,10.299,26562.4,4.703,26562.3,1389.6
1687039889000.0,26562.3,7.24,26562.4,4.368,26562.4,1389.664
1687039889100.0,26561.3,1.514,26561.4,6.294,26561.4,1397.979
1687039889200.0,26561.3,2.818,26561.4,6.577,26561.3,1400.135
1687039889300.0,26561.3,4.48,26561.4,7.199,26561.4,1400.222
1687039889400.0,26561.3,4.48,26561.4,7.164,26561.3,1400.24
1687039889500.0,26561.3,4.488,26561.4,5.39,26561.4,1400.978
1687039889600.0,26554.8,3.432,26554.9,2.194,26554.8,1467.677
1687039889700.0,26558.6,5.715,26558.7,2.741,26558.6,1476.033
